gene	AD	CTL
ENSG00000100997	38	14
ENSG00000227896	231	NA
ENSG00000004059	187	29
ENSG00000114923	9	66
ENSG00000092969	54	112
ENSG00000135932	92	182
ENSG00000234281	314	4
ENSG00000145916	106	13
ENSG00000129646	157	25
ENSG00000178385	69	375
ENSG00000169504	42	34
ENSG00000261668	92	30
ENSG00000148498	100	139
ENSG00000165264	27	10
ENSG00000130940	15	68
ENSG00000263232	327	NA
ENSG00000223131	10	2
ENSG00000249264	8	2
ENSG00000104413	8	2
ENSG00000073712	66	146
ENSG00000118007	109	234
ENSG00000257242	210	11
ENSG00000130023	301	25
ENSG00000165156	142	1
ENSG00000121691	13	79
ENSG00000086848	188	16
ENSG00000132471	36	NA
ENSG00000203814	14	NA
ENSG00000243477	230	20
ENSG00000198156	105	166
ENSG00000141385	77	509
ENSG00000142615	115	2
ENSG00000162413	151	14
ENSG00000280936	30	53
ENSG00000171243	63	81
ENSG00000066422	120	35
ENSG00000238793	204	7
ENSG00000248866	270	70
ENSG00000165025	51	74
ENSG00000206113	195	NA
ENSG00000164070	31	10
ENSG00000272335	31	53
ENSG00000239521	1	1
ENSG00000240106	104	NA
ENSG00000272333	34	2
ENSG00000286606	133	4
ENSG00000166341	31	182
ENSG00000272425	281	1
ENSG00000043143	127	83
ENSG00000100324	561	7
ENSG00000234409	496	27
ENSG00000163931	13	NA
ENSG00000174238	38	341
ENSG00000198755	57	1
ENSG00000168028	67	77
ENSG00000180539	105	77
ENSG00000133101	64	81
ENSG00000100614	155	178
ENSG00000078295	47	144
ENSG00000280287	154	152
ENSG00000143457	19	6
ENSG00000187189	65	194
ENSG00000125148	5	NA
ENSG00000272791	198	47
ENSG00000175182	134	11
ENSG00000197361	327	127
ENSG00000143390	116	328
ENSG00000254936	113	145
ENSG00000214300	207	6
ENSG00000250410	199	3
ENSG00000277246	73	159
ENSG00000268858	170	29
ENSG00000155324	58	59
ENSG00000132005	92	32
ENSG00000153029	31	24
ENSG00000074201	140	3
ENSG00000106077	271	1
ENSG00000198963	36	49
ENSG00000204071	58	505
ENSG00000280650	64	NA
ENSG00000197363	190	9
ENSG00000158604	182	71
ENSG00000250486	259	NA
ENSG00000100652	102	NA
ENSG00000179119	21	136
