gene	AD	CTL
ENSG00000123570	509	626
ENSG00000113749	146	41
ENSG00000156471	81	29
ENSG00000225953	201	118
ENSG00000105402	122	161
ENSG00000170775	15	72
ENSG00000278195	229	65
ENSG00000164031	94	384
ENSG00000179178	8	42
ENSG00000136167	9	16
ENSG00000136099	29	186
ENSG00000124659	65	55
ENSG00000115828	232	129
ENSG00000089737	189	377
ENSG00000145349	37	52
ENSG00000133318	188	28
ENSG00000142875	223	66
ENSG00000115194	115	137
ENSG00000151789	12	6
ENSG00000186288	390	557
ENSG00000091664	89	17
ENSG00000169255	175	223
ENSG00000040731	158	NA
ENSG00000106367	176	31
ENSG00000169758	194	2
ENSG00000159685	21	42
ENSG00000130032	368	135
ENSG00000183783	253	9
ENSG00000278727	253	460
ENSG00000144218	102	29
ENSG00000087095	397	29
ENSG00000172602	288	126
ENSG00000176383	299	128
ENSG00000144711	92	NA
ENSG00000174145	153	52
ENSG00000172731	143	208
ENSG00000116675	12	6
ENSG00000156097	221	280
ENSG00000142327	118	321
ENSG00000172671	244	82
ENSG00000166862	191	168
ENSG00000214050	201	436
ENSG00000186106	134	390
ENSG00000174516	188	222
ENSG00000116752	54	58
ENSG00000076513	8	114
ENSG00000186642	129	154
ENSG00000184349	57	NA
ENSG00000125675	444	100
ENSG00000102078	422	327
ENSG00000139874	84	48
ENSG00000273238	55	58
ENSG00000100030	238	222
ENSG00000108797	247	326
ENSG00000164109	154	244
ENSG00000240204	268	176
ENSG00000168785	86	5
ENSG00000185345	143	455
ENSG00000107954	40	1
ENSG00000205562	76	201
ENSG00000152413	101	107
ENSG00000184007	6	55
ENSG00000138018	14	27
ENSG00000163001	74	54
ENSG00000135519	48	NA
ENSG00000196220	188	33
ENSG00000109472	4	NA
ENSG00000112149	294	125
ENSG00000215712	171	441
ENSG00000086205	14	128
ENSG00000068912	31	35
ENSG00000151067	20	29
ENSG00000116604	111	173
ENSG00000144407	83	11
ENSG00000124772	122	11
ENSG00000157168	112	11
ENSG00000206579	148	80
ENSG00000188229	97	242
ENSG00000108055	7	58
ENSG00000078018	123	4
ENSG00000136451	24	99
ENSG00000065361	27	210
ENSG00000109756	133	105
ENSG00000141622	138	45
ENSG00000184220	38	60
ENSG00000013293	111	57
ENSG00000115353	19	17
ENSG00000168566	10	NA
ENSG00000172888	113	349
ENSG00000143061	68	81
ENSG00000109670	75	NA
ENSG00000108239	8	160
ENSG00000099960	209	383
ENSG00000148498	9	3
ENSG00000203772	112	117
ENSG00000151376	89	105
ENSG00000180611	105	191
ENSG00000184905	142	55
ENSG00000139350	168	139
ENSG00000250510	182	129
ENSG00000135454	136	252
ENSG00000120645	75	NA
ENSG00000125166	61	167
ENSG00000162409	161	523
ENSG00000125703	10	100
ENSG00000244734	1	1
ENSG00000111348	8	4
ENSG00000116120	33	24
ENSG00000236901	59	50
ENSG00000145451	83	142
ENSG00000138443	32	1
ENSG00000180543	57	317
ENSG00000163491	64	44
ENSG00000067992	138	416
ENSG00000127838	27	4
ENSG00000189079	149	158
ENSG00000254585	208	459
ENSG00000196072	36	127
